year,bayview,castro,chinatown,excelsior,fidi,mission,pac,soma,tenderloin,western_addition
2013,5778,2805,1832,2446,5713,11136,1608,11801,17189,3887
2014,7422,3573,2448,2914,8132,12830,2329,15361,20796,4717
2015,7732,3562,2741,3165,10079,13778,2542,17030,21795,5062
2016,7718,3882,2811,3054,10192,13863,2592,17093,23726,5210
2017,7612,4223,2638,3305,9810,14723,2311,17594,24247,5234
2018,7580,3842,2484,3370,10315,13580,2109,18171,24418,5236
2019,8182,3556,2451,3335,9849,14461,2553,19904,25996,4971
